user_id,user_name,user_email,user_phone_number,created_at,tenant_id,user_address
USR-00001,Jennifer Rodriguez,teresamoore@example.org,7954730587,2026-05-24 19:09:53,TNT-0006,"{""street"": ""45956 Lauren Lake Suite 098"", ""city"": ""West Kelli"", ""state"": ""MS"", ""zipcode"": ""01104""}"
USR-00002,Karl Lara,rmartinez@example.org,6521532570,2026-05-16 09:09:53,TNT-0081,"{""street"": ""7111 Michael Loaf"", ""city"": ""Campbellberg"", ""state"": ""FM"", ""zipcode"": ""08297""}"
USR-00003,Nathan Price,vcampbell@example.net,6879574254,2026-05-20 07:09:53,TNT-0123,"{""street"": ""817 Carol Coves Suite 266"", ""city"": ""New Lisa"", ""state"": ""NE"", ""zipcode"": ""72185""}"
USR-00004,Jennifer Anderson,travis13@example.net,9800619270,2026-05-30 14:09:53,TNT-0178,"{""street"": ""7963 Lara Key"", ""city"": ""Nguyenfurt"", ""state"": ""MD"", ""zipcode"": ""71977""}"
USR-00005,Katelyn Silva,schristian@example.com,6629164376,2026-05-13 17:09:53,TNT-0029,"{""street"": ""168 Shelton Point"", ""city"": ""Tiffanyhaven"", ""state"": ""GU"", ""zipcode"": ""52898""}"
USR-00006,Jordan Williams,combsspencer@example.org,6796272487,2026-05-22 09:09:53,TNT-0106,"{""street"": ""6444 Brittany Streets"", ""city"": ""Deborahfurt"", ""state"": ""AZ"", ""zipcode"": ""80779""}"
USR-00007,Kelsey Todd,justinbrandt@example.net,9023465095,2026-05-06 16:09:53,TNT-0147,"{""street"": ""0762 Baker Squares Apt. 895"", ""city"": ""Scottview"", ""state"": ""PR"", ""zipcode"": ""95055""}"
USR-00008,Natalie Brooks,brittany13@example.net,9091507209,2026-05-16 17:09:53,TNT-0189,"{""street"": ""1920 Foster Viaduct Suite 408"", ""city"": ""South Javier"", ""state"": ""HI"", ""zipcode"": ""86075""}"
USR-00009,Thomas Fowler,holdersamantha@example.net,6539540946,2026-05-08 07:09:53,TNT-0190,"{""street"": ""44138 Vazquez Row Suite 037"", ""city"": ""North Markburgh"", ""state"": ""VT"", ""zipcode"": ""85522""}"
USR-00010,Jessica Jimenez,davidsonrebecca@example.org,7971373396,2026-05-25 20:09:53,TNT-0080,"{""street"": ""9672 Hess Estates"", ""city"": ""Suarezton"", ""state"": ""VI"", ""zipcode"": ""64824""}"
